time,date,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"2582.570958204","2026-03-02 17:35:16.900626","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","277","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2582.580508764","2026-03-02 17:35:16.908549","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","278","","","","","","","","","","","","","","","","10059.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2582.584101793","2026-03-02 17:35:16.912147","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","279","","","","","","","","","","","","","","","","","","599","124","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2582.587055194","2026-03-02 17:35:16.915097","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","280","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"2584.636924215","2026-03-02 17:35:18.964966","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","277","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2584.643930848","2026-03-02 17:35:18.971972","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","278","","","","","","","","","","","","","","","","10333.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2584.647224975","2026-03-02 17:35:18.975272","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","279","","","","","","","","","","","","","","","","","","599","122","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2584.650413946","2026-03-02 17:35:18.978460","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","280","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"2585.523415936","2026-03-02 17:35:19.851456","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","277","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2585.527061412","2026-03-02 17:35:19.855101","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","278","","","","","","","","","","","","","","","","10418.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2585.533558573","2026-03-02 17:35:19.861605","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","279","","","","","","","","","","","","","","","","","","599","121","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2585.540391041","2026-03-02 17:35:19.868441","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","280","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"2586.531233689","2026-03-02 17:35:20.859275","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","277","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2586.534734375","2026-03-02 17:35:20.862775","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","278","","","","","","","","","","","","","","","","10318.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2586.538775159","2026-03-02 17:35:20.866828","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","279","","","","","","","","","","","","","","","","","","599","121","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2586.542492666","2026-03-02 17:35:20.870540","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","280","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"2602.367039119","2026-03-02 17:35:36.695087","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","277","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2602.373290086","2026-03-02 17:35:36.701329","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","278","","","","","","","","","","","","","","","","10346.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2602.376224998","2026-03-02 17:35:36.704267","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","279","","","","","","","","","","","","","","","","","","589","128","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2602.379036996","2026-03-02 17:35:36.707076","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","280","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
