time,date,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"236.202770345","2026-05-14 18:47:44.836653","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","263","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236.220844952","2026-05-14 18:47:44.853180","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","264","","","","","","","","","","","","","","","","4612.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236.223997048","2026-05-14 18:47:44.856391","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","265","","","","","","","","","","","","","","","","","","574","382","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236.226953318","2026-05-14 18:47:44.859287","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","266","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.513454278","2026-05-14 18:47:46.145792","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","263","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.517123821","2026-05-14 18:47:46.149464","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","264","","","","","","","","","","","","","","","","4607.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.521470212","2026-05-14 18:47:46.153813","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","265","","","","","","","","","","","","","","","","","","574","382","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.528548854","2026-05-14 18:47:46.160889","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","266","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.608511631","2026-05-14 18:47:46.240848","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","263","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.611915259","2026-05-14 18:47:46.244241","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","264","","","","","","","","","","","","","","","","4615.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.614844067","2026-05-14 18:47:46.247180","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","265","","","","","","","","","","","","","","","","","","575","382","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.617686112","2026-05-14 18:47:46.250023","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","266","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.708279776","2026-05-14 18:47:46.340619","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","263","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.716635254","2026-05-14 18:47:46.348964","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","264","","","","","","","","","","","","","","","","4619.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.722102361","2026-05-14 18:47:46.354444","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","265","","","","","","","","","","","","","","","","","","575","382","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237.725397446","2026-05-14 18:47:46.357739","/home/sc28/SC-28/1_definition/SC-28/camera.py","capture_and_detect","266","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
