time,date,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"1165.908906029","2026-02-28 13:40:01.488975","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.04","-0.06","","","","","","","","","","","","",""
"1165.939755915","2026-02-28 13:40:01.511333","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","-0.0011111111111111111","0.0","","","","","","",""
"1165.942694778","2026-02-28 13:40:01.514285","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","0.52","9.79","","","",""
"1166.048564112","2026-02-28 13:40:01.620158","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1166.253828385","2026-02-28 13:40:01.825419","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/camera.py","capture_and_detect","310","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1166.254473283","2026-02-28 13:40:01.826045","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/camera.py","capture_and_detect","311","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1166.255271462","2026-02-28 13:40:01.826844","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/camera.py","capture_and_detect","313","","","","","","","","","","","","","","","","","","320","240","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1166.255685526","2026-02-28 13:40:01.827254","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/camera.py","capture_and_detect","314","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"1166.259086526","2026-02-28 13:40:01.830656","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","1007.8629253108766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1169.266850625","2026-02-28 13:40:04.838427","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","106","","","","ijochi detected: ['lat', 'lon'] out of range","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170.345179346","2026-02-28 13:40:05.916756","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.03","0.05","-0.05","","","","","","","","","","","","",""
"1170.4497213","2026-02-28 13:40:06.021300","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0022222222222222222","0.0","-0.0011111111111111111","","","","","","",""
"1170.454006468","2026-02-28 13:40:06.025576","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","0.52","9.79","","","",""
"1170.759573332","2026-02-28 13:40:06.331161","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","106","","","","ijochi detected: temp out of range","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170.806532312","2026-02-28 13:40:06.378112","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/camera.py","capture_and_detect","310","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170.807057522","2026-02-28 13:40:06.378623","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/camera.py","capture_and_detect","311","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170.80736945","2026-02-28 13:40:06.378934","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/camera.py","capture_and_detect","313","","","","","","","","","","","","","","","","","","320","240","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170.807639555","2026-02-28 13:40:06.379202","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/camera.py","capture_and_detect","314","","","","","","","","","","","","","","","","","","","","640","480","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170.810676386","2026-02-28 13:40:06.382245","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","1007.9005590146132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1173.437735268","2026-02-28 13:40:09.009315","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","106","","","","ijochi detected: ['lat', 'lon'] out of range","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1173.46830524","2026-02-28 13:40:09.039876","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.05","-0.11","","","","","","","","","","","","",""
"1173.472203687","2026-02-28 13:40:09.043778","/home/sc28/SC-28/1_definition/SC-28_temp/SC-28_ijochi/ijochi.py","abnormal_check","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0011111111111111111","0.0","","","","","","",""
